year,name,TDI,TDI_normalized,TDI_rank
1974,BRM,0.143080308030803,0.1076046485619318,7.0
1974,Shadow,0.1415191340562627,0.105698487965516,8.0
1974,March,0.1121182118211821,0.0698005801238881,9.0
1974,Lola,0.1085588558855885,0.0654546813684051,10.0
1974,Penske,0.1024752475247524,0.05802672347866,11.0
1974,Iso-Marlboro,0.1004376866258054,0.0555389044644377,12.0
1974,Parnelli,0.0995049504950495,0.0544000532612437,13.0
1974,Token,0.0957920792079208,0.0498667154894734,14.0
1974,Trojan,0.0939356435643564,0.0476000466035883,15.0
1974,Surtees,0.0929702970297029,0.046421378782928,16.0
1974,Ensign,0.0799504950495049,0.0305244743299201,17.0
1974,Amon,0.0668316831683168,0.0145066808696649,18.0
1974,Lyncar,0.0579207920792079,0.0036266702174162,19.0
1974,Maki,0.0549504950495049,0.0,20.0
1975,Ferrari,0.9287835926449788,1.0,1.0
1975,McLaren,0.6674114574817143,0.6961388832169763,2.0
1975,Brabham,0.5781402461874279,0.5923556320164953,3.0
1975,Tyrrell,0.3396105933354193,0.3150503000758731,4.0
1975,Hesketh,0.3381415719999159,0.3133424727923513,5.0
1975,March,0.2015773784082318,0.1545782328651624,6.0
1975,Shadow,0.1510991801494594,0.0958942354814151,7.0
1975,Lotus,0.1507757659889254,0.0955182467099192,8.0
1975,Frank Williams Racing Cars,0.1323397144183691,0.0740852075077893,9.0
1975,Parnelli,0.1185989269317993,0.0581107003992207,10.0
1975,Penske,0.1185286796836108,0.058029033670393,11.0
1975,Hill,0.1145256927927429,0.0533753162174322,12.0
1975,Lola,0.1084158415841584,0.0462722399447495,13.0
1975,Surtees,0.1059405940594059,0.0433946130825138,14.0
1975,Ensign,0.1041698303908603,0.0413359918544056,15.0
1975,Lyncar,0.0995049504950495,0.0359127832407011,16.0
1975,Fittipaldi,0.0956859971711456,0.0314730160818232,17.0
1975,BRM,0.0949144914491449,0.030576093423464,18.0
1975,Maki,0.0686138613861386,0.0,19.0
1976,Ferrari,0.9255445544554456,1.0,1.0
1976,McLaren,0.8093657442667345,0.8642362625354643,2.0
1976,Tyrrell,0.5655585941450618,0.5793291450729057,3.0
1976,Lotus,0.3163609804683942,0.2881228627479789,4.0
