year,constructorId,name,races,wins,podiums,avg_finish,total_points,win_rate,podium_rate,avg_points,TDI,total_races,points_share,one_two_rate
1952,simca-gordini,Simca-Gordini,6,0,0,20.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0
1952,stevens,Stevens,1,0,0,23.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1952,trevis,Trevis,1,0,0,16.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1952,veritas,Veritas,3,0,0,16.77777777777778,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
1952,watson,Watson,1,0,0,12.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1953,afm,AFM,2,0,0,27.5,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
1953,bromme,Bromme,1,0,0,45.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1953,connaught,Connaught,6,0,0,19.33333333333333,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0
1953,cooper,Cooper,7,0,0,15.761904761904765,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0
1953,del-roy,Del Roy,1,0,0,46.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1953,emw,EMW,1,0,0,23.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1953,ferrari,Ferrari,8,7,16,8.98,1.0,0.875,0.6666666666666666,0.125,0.8729166666666667,8,0.5671296296296297,0.0
1953,gordini,Gordini,8,0,0,15.620689655172416,0.0326530612244898,0.0,0.0,0.004081632653061225,0.0130612244897959,8,0.01851851851851852,0.0
1953,greifzu,Greifzu,1,0,0,15.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1953,heck,Heck,1,0,0,16.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1953,hwm,HWM,6,0,0,17.833333333333332,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0
1953,kurtis-kraft,Kurtis Kraft,1,1,3,21.63636363636364,0.1959183673469387,1.0,1.0,0.1959183673469387,0.6783673469387754,1,0.11111111111111109,0.0
1953,kuzma,Kuzma,1,0,0,22.166666666666668,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1953,lesovsky,Lesovsky,1,0,0,38.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1953,maserati,Maserati,8,1,8,10.133333333333333,0.5346938775510204,0.125,0.3333333333333333,0.06683673469387755,0.3409608843537415,8,0.30324074074074076,0.0
1953,osca,O.S.C.A.,4,0,0,21.285714285714285,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
1953,schroeder,Schroeder,1,0,0,20.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1953,simca-gordini,Simca-Gordini,2,0,0,18.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
1953,stevens,Stevens,1,0,0,29.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1953,turner,Turner,1,0,0,33.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1953,veritas,Veritas,2,0,0,22.375,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
1953,watson,Watson,1,0,0,41.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1954,bromme,Bromme,1,0,0,50.5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1954,connaught,Connaught,1,0,0,15.8,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1954,cooper,Cooper,1,0,0,25.666666666666668,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1954,ferrari,Ferrari,8,2,12,10.063829787234043,1.0,0.25,0.75,0.125,0.675,8,0.3717010834336513,0.0
1954,gordini,Gordini,8,0,0,14.12,0.0515695067264573,0.0,0.0,0.006446188340807162,0.0206278026905829,8,0.019168441522363147,0.0
1954,hwm,HWM,1,0,0,17.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1954,klenk,Klenk,1,0,0,15.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1954,kurtis-kraft,Kurtis Kraft,1,1,2,25.37142857142857,0.2242152466367713,1.0,1.0,0.2242152466367713,0.6896860986547085,1,0.08334105009723124,0.0
1954,kuzma,Kuzma,1,0,1,14.75,0.0747384155455904,0.0,0.5,0.0747384155455904,0.1548953662182361,1,0.027780350032410396,0.0
1954,lancia,Lancia,1,0,0,20.5,0.0124564025909317,0.0,0.0,0.0124564025909317,0.0049825610363726,1,0.004630058338735054,0.0
1954,maserati,Maserati,8,2,5,12.119402985074627,0.5782262082710513,0.25,0.3125,0.07227827603388141,0.3969154833084205,8,0.21492730808408186,0.0
1954,mercedes,Mercedes,6,4,7,6.555555555555555,0.7491280518186347,0.6666666666666666,0.5833333333333334,0.12485467530310579,0.6788178873941206,6,0.278451708491527,0.0
1954,nichels,Nichels,1,0,0,41.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1954,pankratz,Pankratz,1,0,0,27.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1954,pawl,Pawl,1,0,0,36.5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1954,phillips,Phillips,1,0,0,8.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1954,schroeder,Schroeder,1,0,0,48.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1954,stevens,Stevens,1,0,0,23.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1954,vanwall,Vanwall,3,0,0,19.666666666666668,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
1955,arzani-volpini,Arzani-Volpini,1,0,0,23.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1955,connaught,Connaught,1,0,0,21.8,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1955,cooper,Cooper,1,0,0,14.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1955,epperly,Epperly,1,0,0,16.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1955,ferrari,Ferrari,6,1,5,8.586206896551724,0.430253164556962,0.1666666666666666,0.2777777777777778,0.07170886075949366,0.2998790436005626,6,0.2023334722304899,0.0
1955,gordini,Gordini,5,0,0,17.6,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0
1955,hwm,HWM,1,0,0,25.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1955,kurtis-kraft,Kurtis Kraft,1,1,3,16.26086956521739,0.2658227848101265,1.0,1.0,0.2658227848101265,0.7063291139240506,1,0.1250074409191023,0.0
1955,kuzma,Kuzma,1,0,0,18.5,0.0379746835443038,0.0,0.0,0.0379746835443038,0.0151898734177215,1,0.017858205845586048,0.0
1955,lancia,Lancia,4,0,1,17.727272727272727,0.1012658227848101,0.0,0.0833333333333333,0.025316455696202524,0.0613396624472573,4,0.04762188225489611,0.0
1955,maserati,Maserati,6,0,2,14.254901960784316,0.2911392405063291,0.0,0.1111111111111111,0.04852320675105485,0.1442334739803094,6,0.13691291148282636,0.0
1955,mercedes,Mercedes,6,5,10,9.708333333333334,1.0,0.8333333333333334,0.5555555555555556,0.16666666666666666,0.8305555555555556,6,0.47026608726709923,0.0
1955,pankratz,Pankratz,1,0,0,35.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1955,pawl,Pawl,1,0,0,24.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1955,phillips,Phillips,1,0,0,17.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1955,schroeder,Schroeder,1,0,0,22.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1955,stevens,Stevens,1,0,0,33.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1955,trevis,Trevis,1,0,0,17.5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1955,vanwall,Vanwall,4,0,0,16.142857142857142,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
1956,brm,BRM,2,0,0,21.8,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
1956,bugatti,Bugatti,1,0,0,19.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1956,connaught,Connaught,3,0,0,13.714285714285714,0.1118012422360248,0.0,0.0,0.0372670807453416,0.0447204968944099,3,0.04724409448818896,0.0
1956,cooper,Cooper,1,0,0,13.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
