year,constructorId,name,races,wins,podiums,avg_finish,total_points,win_rate,podium_rate,avg_points,TDI,inv_avg_finish,TDI_normalized,TDI_rank
1983,renault,Renault,15,4,11,9.3,0.8876404494382022,1.0,0.9166666666666664,5.266666666666667,0.8790709941780694,0.8158415841584158,0.9468332993008504,2.0
1983,brabham,Brabham,15,4,10,10.733333333333333,0.8089887640449438,1.0,0.8333333333333333,4.8,0.8382498980235102,0.7874587458745874,0.8988028856054814,3.0
1983,mclaren,McLaren,15,1,5,14.233333333333333,0.3820224719101123,0.2499999999999997,0.4166666666666666,2.2666666666666666,0.3757939333259167,0.7181518151815182,0.3546736633960576,4.0
1983,williams,Williams,15,1,3,11.636363636363637,0.449438202247191,0.2499999999999997,0.25,2.6666666666666665,0.3553241841038035,0.7695769576957696,0.3305888000289393,5.0
1983,tyrrell,Tyrrell,15,1,1,15.233333333333333,0.1348314606741573,0.2499999999999997,0.0833333333333332,0.8,0.2400521007156894,0.6983498349834983,0.19495878579082743,6.0
1983,lotus,Lotus,15,0,2,16.068181818181817,0.2584269662921348,0.0,0.1666666666666666,1.5333333333333334,0.1956247871978209,0.6818181818181819,0.14268526918662522,7.0
1983,alfa-romeo,Alfa Romeo,15,0,2,15.0,0.2022471910112359,0.0,0.1666666666666666,1.2,0.18756164942336928,0.7029702970297029,0.13319811966169962,8.0
1983,toleman,Toleman,15,0,0,14.8,0.1123595505617977,0.0,0.0,0.6666666666666666,0.12851151407275557,0.7069306930693069,0.0637192791396588,9.0
1983,arrows,Arrows,15,0,0,11.9,0.0449438202247191,0.0,0.0,0.2666666666666666,0.12364222939147847,0.7643564356435644,0.05799004157198653,10.0
1983,ligier,Ligier,15,0,0,15.766666666666667,0.0,0.0,0.0,0.0,0.10316831683168316,0.6877887788778878,0.03390027958993474,11.0
1983,spirit,Spirit,6,0,0,16.666666666666668,0.0,0.0,0.0,0.0,0.10049504950495049,0.66996699669967,0.030754892823858317,12.0
