year,constructorId,name,races,wins,podiums,avg_finish,total_points,win_rate,podium_rate,avg_points,TDI,inv_avg_finish,TDI_normalized,TDI_rank,poles,one_two_finishes,max_possible_points,points_eff,win_rate_alt,pole_rate,one_two_rate,TDI_alt,TDI_og_pct
2008,force-india,Force India,18,0,0,16.88888888888889,0.0,0.0,0.0,0.0,0.0998349834983498,0.6655665566556656,0.0,11.0,0,0,450,0.0,0.0,0.0,0.0,0.0,9.98349834983498
2009,brawn,Brawn,17,8,15,4.911764705882353,1.0,1.0,0.9375,10.117647058823527,0.9197855998835178,0.9027373325567852,1.0,1.0,0,0,425,0.002352941176470588,0.47058823529411764,0.0,0.0,14.211764705882352,91.97855998835178
2009,red-bull,Red Bull,17,6,16,7.029411764705882,0.8924418604651163,0.75,1.0,9.029411764705882,0.8201089312077582,0.8608037274315667,0.8761300856781375,2.0,0,0,425,0.002099863201094391,0.35294117647058826,0.0,0.0,10.672229822161421,82.01089312077582
2009,mclaren,McLaren,17,2,5,10.441176470588236,0.4127906976744186,0.25,0.3125,4.176470588235294,0.3671697440776909,0.7932440302853815,0.3132547503745233,3.0,0,0,425,0.0009712722298221614,0.11764705882352941,0.0,0.0,3.568262653898769,36.71697440776909
2009,ferrari,Ferrari,17,1,6,9.764705882352942,0.4069767441860465,0.125,0.375,4.117647058823529,0.3398912719589332,0.8066394874781595,0.2793553228648279,4.0,0,0,425,0.0009575923392612859,0.058823529411764705,0.0,0.0,1.8030095759233926,33.98912719589332
2009,toyota,Toyota,17,0,5,9.529411764705882,0.3459302325581395,0.0,0.3125,3.5,0.2690058630521055,0.8112987769365172,0.191264803341935,5.0,0,0,425,0.000813953488372093,0.0,0.0,0.0,0.03255813953488372,26.90058630521055
2009,bmw-sauber,BMW Sauber,17,0,2,11.088235294117649,0.2093023255813953,0.0,0.125,2.117647058823529,0.1901751127575137,0.780430984274898,0.0933004711200867,6.0,0,0,425,0.0004924760601915184,0.0,0.0,0.0,0.019699042407660735,19.01751127575137
2009,renault,Renault,17,0,1,12.470588235294118,0.1511627906976744,0.0,0.0625,1.5294117647058822,0.1588162069455919,0.7530576587070472,0.0543302183241607,7.0,0,0,425,0.0003556771545827633,0.0,0.0,0.0,0.014227086183310532,15.88162069455919
2009,williams,Williams,17,0,0,10.970588235294118,0.2005813953488372,0.0,0.0,2.0294117647058822,0.1575303734203789,0.7827606290040768,0.0527322908380564,8.0,0,0,425,0.0004719562243502052,0.0,0.0,0.0,0.018878248974008208,15.75303734203789
2009,force-india,Force India,17,0,1,13.911764705882351,0.0755813953488372,0.0,0.0625,0.7647058823529411,0.1394192056859584,0.724519510774607,0.0302252305065234,9.0,0,0,425,0.00017783857729138165,0.0,0.0,0.0,0.007113543091655266,13.941920568595839
2009,toro-rosso,Toro Rosso,17,0,0,14.882352941176473,0.0465116279069767,0.0,0.0,0.4705882352941176,0.1150973168452275,0.7052999417588817,0.0,10.0,0,0,425,0.000109439124487004,0.0,0.0,0.0,0.004377564979480161,11.50973168452275
2010,red-bull,Red Bull,19,9,20,6.026315789473684,1.0,1.0,1.0,26.21052631578948,0.9321000521104744,0.8806670140698281,1.0,1.0,0,0,475,0.002105263157894737,0.47368421052631576,0.0,0.0,14.294736842105262,93.21000521104745
2010,mclaren,McLaren,19,5,16,6.394736842105263,0.9116465863453816,0.5555555555555556,0.8,23.894736842105264,0.7077794938656834,0.8733715476810839,0.7325352441692792,2.0,0,0,475,0.001919255971253435,0.2631578947368421,0.0,0.0,7.9715070809554005,70.77794938656834
2010,ferrari,Ferrari,19,5,15,6.631578947368421,0.7951807228915663,0.5555555555555556,0.75,20.84210526315789,0.6712828297731486,0.8686816050026055,0.6890190750471726,3.0,0,0,475,0.0016740646797717184,0.2631578947368421,0.0,0.0,7.961699429296132,67.12828297731485
2010,mercedes,Mercedes,19,0,3,9.157894736842104,0.429718875502008,0.0,0.1499999999999999,11.263157894736842,0.246242107565227,0.8186555497655029,0.1822290872146824,4.0,0,0,475,0.0009046713168463326,0.0,0.0,0.0,0.036186852673853305,24.6242107565227
2010,renault,Renault,19,0,3,10.973684210526317,0.3273092369477912,0.0,0.1499999999999999,8.578947368421053,0.2203667457741335,0.7826993225638353,0.1513770450405804,5.0,0,0,475,0.0006890720777848235,0.0,0.0,0.0,0.02756288311139294,22.03667457741335
2010,williams,Williams,19,0,0,12.552631578947368,0.1385542168674698,0.0,0.0,3.631578947368421,0.1404257990795908,0.7514330380406462,0.0560608334733821,6.0,0,0,475,0.00029169308814204167,0.0,0.0,0.0,0.011667723525681666,14.04257990795908
2010,force-india,Force India,19,0,0,13.342105263157896,0.1365461847389558,0.0,0.0,3.5789473684210527,0.1376792213146488,0.7357998957790516,0.0527859987590861,7.0,0,0,475,0.00028746565208201223,0.0,0.0,0.0,0.01149862608328049,13.76792213146488
2010,sauber,Sauber,19,0,0,15.078947368421051,0.0883534136546184,0.0,0.0,2.3157894736842106,0.1228817301514552,0.7014069828035435,0.0351424649169856,8.0,0,0,475,0.0001860071866413019,0.0,0.0,0.0,0.007440287465652076,12.28817301514552
2010,toro-rosso,Toro Rosso,19,0,0,13.710526315789474,0.0261044176706827,0.0,0.0,0.6842105263157895,0.1144965479426826,0.7285044293903075,0.0251445372655304,9.0,0,0,475,5.4956668780384635e-05,0.0,0.0,0.0,0.0021982667512153854,11.44965479426826
2010,lotus-racing,Lotus Racing,19,0,0,18.13157894736842,0.0,0.0,0.0,0.0,0.0961438249088066,0.6409588327253778,0.003261983907546,10.0,0,0,475,0.0,0.0,0.0,0.0,0.0,9.61438249088066
2010,hrt,HRT,19,0,0,18.94736842105263,0.0,0.0,0.0,0.0,0.0937206878582595,0.6248045857217301,0.0003727981608624,11.0,0,0,475,0.0,0.0,0.0,0.0,0.0,9.37206878582595
2010,virgin,Virgin,19,0,0,19.05263157894737,0.0,0.0,0.0,0.0,0.0934080250130276,0.6227201667535174,0.0,12.0,0,0,475,0.0,0.0,0.0,0.0,0.0,9.34080250130276
2011,red-bull,Red Bull,19,12,27,3.473684210526316,1.0,1.0,1.0,34.21052631578947,0.9396821261073476,0.931214174048984,1.0,1.0,0,0,475,0.002105263157894737,0.631578947368421,0.0,0.0,19.03157894736842,93.96821261073475
2011,mclaren,McLaren,19,6,18,5.842105263157895,0.7646153846153846,0.5,0.6666666666666669,26.157894736842103,0.6272369556793737,0.8843147472642001,0.6320226573884362,2.0,0,0,475,0.0016097165991902833,0.3157894736842105,0.0,0.0,9.538072874493926,62.72369556793736
2011,ferrari,Ferrari,19,1,10,6.552631578947368,0.5769230769230769,0.0833333333333333,0.3703703703703704,19.73684210526316,0.3676806125281894,0.870244919228765,0.3263342920348567,3.0,0,0,475,0.001214574898785425,0.05263157894736842,0.0,0.0,1.6275303643724692,36.76806125281894
2011,mercedes,Mercedes,19,0,0,10.421052631578949,0.2538461538461538,0.0,0.0,8.68421052631579,0.1698156090912734,0.7936425221469515,0.0933019233129702,4.0,0,0,475,0.0005344129554655869,0.0,0.0,0.0,0.021376518218623478,16.981560909127342
2011,renault,Renault,19,0,2,12.657894736842104,0.1123076923076923,0.0,0.074074074074074,3.842105263157895,0.153382349840922,0.7493486190724336,0.07394791294018,5.0,0,0,475,0.00023643724696356273,0.0,0.0,0.0,0.009457489878542509,15.3382349840922
2011,force-india,Force India,19,0,0,11.31578947368421,0.1061538461538461,0.0,0.0,3.631578947368421,0.1376195133683408,0.7759249609171444,0.0553834823578287,6.0,0,0,475,0.0002234817813765181,0.0,0.0,0.0,0.008939271255060725,13.76195133683408
2011,sauber,Sauber,19,0,0,13.447368421052632,0.0676923076923076,0.0,0.0,2.3157894736842106,0.1235957830600873,0.7337154768108389,0.038867256470055,7.0,0,0,475,0.00014251012145748967,0.0,0.0,0.0,0.005700404858299588,12.35957830600873
2011,toro-rosso,Toro Rosso,19,0,0,13.81578947368421,0.063076923076923,0.0,0.0,2.1578947368421053,0.1215783861786988,0.7264200104220948,0.0364912992984675,8.0,0,0,475,0.00013279352226720632,0.0,0.0,0.0,0.005311740890688253,12.15783861786988
2011,williams,Williams,19,0,0,15.605263157894736,0.0076923076923076,0.0,0.0,0.2631578947368421,0.1051861947328335,0.6909848879624805,0.017185655880881,9.0,0,0,475,1.6194331983805475e-05,0.0,0.0,0.0,0.000647773279352219,10.51861947328335
2011,lotus-racing,Lotus Racing,19,0,0,17.789473684210527,0.0,0.0,0.0,0.0,0.0971599791558103,0.6477331943720688,0.007732907818829,10.0,0,0,475,0.0,0.0,0.0,0.0,0.0,9.71599791558103
2011,virgin,Virgin,19,0,0,18.894736842105264,0.0,0.0,0.0,0.0,0.0938770192808754,0.6258467952058364,0.0038664539094145,11.0,0,0,475,0.0,0.0,0.0,0.0,0.0,9.38770192808754
2011,hrt,HRT,18,0,0,20.0,0.0,0.0,0.0,0.0,0.0905940594059405,0.6039603960396039,0.0,12.0,0,0,450,0.0,0.0,0.0,0.0,0.0,9.059405940594049
2012,red-bull,Red Bull,20,7,14,6.475,1.0,1.0,0.9333333333333332,23.0,0.9141006600660064,0.8717821782178218,1.0,1.0,0,0,500,0.002,0.35,0.0,0.0,10.579999999999998,91.41006600660064
2012,mclaren,McLaren,20,7,13,9.075,0.8217391304347826,1.0,0.8666666666666667,18.9,0.8540590472090688,0.8202970297029704,0.9272215595889464,2.0,0,0,500,0.0016434782608695652,0.35,0.0,0.0,10.565739130434784,85.40590472090688
2012,ferrari,Ferrari,20,3,15,6.825,0.8695652173913043,0.4285714285714286,1.0,20.0,0.7036407662505382,0.8648514851485148,0.744894547095833,3.0,0,0,500,0.0017391304347826085,0.15,0.0,0.0,4.569565217391304,70.36407662505381
2012,lotus-f1,Lotus,20,1,10,9.1,0.658695652173913,0.1428571428571428,0.6666666666666666,15.15,0.4713760941311522,0.8198019801980199,0.4633587955544676,4.0,0,0,500,0.001317391304347826,0.05,0.0,0.0,1.5526956521739128,47.13760941311522
2012,mercedes,Mercedes,20,1,3,12.575,0.308695652173913,0.1428571428571428,0.1999999999999999,7.1,0.2743876452862677,0.750990099009901,0.2245825301652746,5.0,0,0,500,0.0006173913043478259,0.05,0.0,0.0,1.524695652173913,27.43876452862677
2012,sauber,Sauber,20,0,4,12.55,0.2739130434782608,0.0,0.2666666666666666,6.3,0.2341720476395465,0.7514851485148515,0.1758358636841356,6.0,0,0,500,0.0005478260869565216,0.0,0.0,0.0,0.021913043478260865,23.41720476395465
2012,williams,Williams,20,1,1,13.7,0.1652173913043478,0.1428571428571428,0.0666666666666666,3.8,0.2090170756206055,0.7287128712871287,0.1453446835673663,7.0,0,0,500,0.00033043478260869557,0.05,0.0,0.0,1.5132173913043478,20.90170756206055
2012,force-india,Force India,20,0,0,11.075,0.2369565217391304,0.0,0.0,5.45,0.1644952647438656,0.7806930693069307,0.0913783124839384,8.0,0,0,500,0.0004739130434782608,0.0,0.0,0.0,0.018956521739130434,16.449526474386563
2012,toro-rosso,Toro Rosso,20,0,0,13.325,0.0565217391304347,0.0,0.0,1.3,0.1217251399052948,0.7361386138613861,0.0395352184392457,9.0,0,0,500,0.00011304347826086939,0.0,0.0,0.0,0.004521739130434776,12.17251399052948
2012,caterham,Caterham,20,0,0,16.75,0.0,0.0,0.0,0.0,0.1002475247524752,0.6683168316831682,0.0135014851633679,10.0,0,0,500,0.0,0.0,0.0,0.0,0.0,10.024752475247519
2012,marussia,Marussia,20,0,0,18.05,0.0,0.0,0.0,0.0,0.0963861386138613,0.6425742574257425,0.0088209703067337,11.0,0,0,500,0.0,0.0,0.0,0.0,0.0,9.63861386138613
2012,hrt,HRT,20,0,0,20.5,0.0,0.0,0.0,0.0,0.0891089108910891,0.594059405940594,0.0,12.0,0,0,500,0.0,0.0,0.0,0.0,0.0,8.91089108910891
2013,red-bull,Red Bull,19,13,24,4.815789473684211,1.0,1.0,1.0,31.36842105263158,0.935695674830641,0.9046378322042732,1.0,1.0,0,0,475,0.002105263157894737,0.6842105263157895,0.0,0.0,20.610526315789475,93.56956748306409
2013,mercedes,Mercedes,19,3,9,6.684210526315789,0.6040268456375839,0.2307692307692306,0.3749999999999999,18.94736842105263,0.4254705092245223,0.8676393955184992,0.3917551838495781,2.0,0,0,475,0.0012716354645001767,0.15789473684210525,0.0,0.0,4.787707523843165,42.54705092245223
2013,ferrari,Ferrari,19,2,10,6.842105263157895,0.5939597315436241,0.1538461538461537,0.4166666666666667,18.63157894736842,0.4064816818814724,0.8645127670661803,0.3691184019447401,3.0,0,0,475,0.0012504415400918403,0.10526315789473684,0.0,0.0,3.207912398445778,40.64816818814724
2013,lotus-f1,Lotus,19,1,14,8.5,0.5285234899328859,0.0769230769230768,0.5833333333333334,16.57894736842105,0.4032135834905122,0.8316831683168316,0.3652224672888913,4.0,0,0,475,0.0011126810314376545,0.05263157894736842,0.0,0.0,1.6234546096785585,40.321358349051216
2013,mclaren,McLaren,19,0,0,9.63157894736842,0.2046979865771812,0.0,0.0,6.421052631578948,0.1623309469767181,0.8092756644085461,0.078063728683536,5.0,0,0,475,0.0004309431296361709,0.0,0.0,0.0,0.017237725185446837,16.23309469767181
2013,force-india,Force India,19,0,0,12.921052631578949,0.1291946308724832,0.0,0.0,4.052631578947368,0.1374595619222819,0.7441375716519021,0.0484142875159863,6.0,0,0,475,0.00027198869657364883,0.0,0.0,0.0,0.010879547862945954,13.74595619222819
2013,sauber,Sauber,19,0,0,12.68421052631579,0.0956375838926174,0.0,0.0,3.0,0.1314516439280805,0.7488275143303804,0.0412521849342982,7.0,0,0,475,0.00020134228187919452,0.0,0.0,0.0,0.008053691275167783,13.14516439280805
2013,toro-rosso,Toro Rosso,19,0,0,14.105263157894736,0.0553691275167785,0.0,0.0,1.736842105263158,0.1191770042422822,0.7206878582595102,0.0266194571461031,8.0,0,0,475,0.00011656658424584948,0.0,0.0,0.0,0.0046626633698339795,11.91770042422822
2013,williams,Williams,19,0,0,14.526315789473683,0.0083892617449664,0.0,0.0,0.2631578947368421,0.1085303797069922,0.7123501823866598,0.0139275034370045,9.0,0,0,475,1.7661603673613473e-05,0.0,0.0,0.0,0.000706464146944539,10.85303797069922
2013,caterham,Caterham,19,0,0,17.894736842105264,0.0,0.0,0.0,0.0,0.0968473163105784,0.6456487754038562,0.0,10.0,0,0,475,0.0,0.0,0.0,0.0,0.0,9.68473163105784
2013,marussia,Marussia,19,0,0,17.894736842105264,0.0,0.0,0.0,0.0,0.0968473163105784,0.6456487754038562,0.0,10.0,0,0,475,0.0,0.0,0.0,0.0,0.0,9.68473163105784
2014,mercedes,Mercedes,19,16,31,4.2105263157894735,1.0,1.0,1.0,36.89473684210526,0.9374934861907244,0.9166232412714956,1.0,1.0,0,0,475,0.002105263157894737,0.8421052631578947,0.0,0.0,25.34736842105263,93.74934861907244
2014,red-bull,Red Bull,19,3,12,6.7368421052631575,0.5777460770328102,0.1874999999999999,0.3870967741935484,21.31578947368421,0.407937986860108,0.866597186034393,0.3698373295058411,2.0,0,0,475,0.00121630753059539,0.15789473684210525,0.0,0.0,4.785494406486973,40.7937986860108
2014,williams,Williams,19,0,9,7.815789473684211,0.456490727532097,0.0,0.2903225806451612,16.842105263157894,0.2906635744092417,0.8452318916102136,0.2302826331159688,3.0,0,0,475,0.0009610331105938885,0.0,0.0,0.0,0.038441324423755543,29.06635744092417
2014,ferrari,Ferrari,19,0,2,8.473684210526315,0.3081312410841654,0.0,0.064516129032258,11.36842105263158,0.2025859214337303,0.8322042730588849,0.1254716188217826,4.0,0,0,475,0.0006486973496508745,0.0,0.0,0.0,0.025947893986034982,20.25859214337303
2014,mclaren,McLaren,19,0,2,8.947368421052632,0.2582025677603424,0.0,0.064516129032258,9.526315789473683,0.1911932039654222,0.8228243877019281,0.1119144651842707,5.0,0,0,475,0.0005435843531796682,0.0,0.0,0.0,0.02174337412718673,19.119320396542218
2014,force-india,Force India,19,0,1,9.973684210526317,0.2211126961483595,0.0,0.032258064516129,8.157894736842104,0.1726622507729824,0.802501302761855,0.0898629239099169,6.0,0,0,475,0.0004655004129439147,0.0,0.0,0.0,0.01862001651775659,17.266225077298238
2014,toro-rosso,Toro Rosso,19,0,0,13.289473684210526,0.042796005706134,0.0,0.0,1.5789473684210529,0.1190855169307004,0.736842105263158,0.0261074578311319,7.0,0,0,475,9.009685411817683e-05,0.0,0.0,0.0,0.003603874164727073,11.90855169307004
2014,lotus-f1,Lotus,19,0,0,15.157894736842104,0.014265335235378,0.0,0.0,0.5263157894736842,0.1078296173336832,0.6998436685773841,0.0127131152969944,8.0,0,0,475,3.003228470605895e-05,0.0,0.0,0.0,0.001201291388242358,10.78296173336832
2014,sauber,Sauber,19,0,0,16.236842105263158,0.0,0.0,0.0,0.0,0.1017717561229807,0.6784783741532048,0.0055043562474808,9.0,0,0,475,0.0,0.0,0.0,0.0,0.0,10.17717561229807
2014,marussia,Marussia,16,0,0,16.806451612903224,0.0028530670470756,0.0,0.0,0.125,0.1006504601037619,0.6671989779623124,0.0041700317153429,10.0,0,0,400,7.1326676176889995e-06,0.0,0.0,0.0,0.00028530670470756003,10.06504601037619
2014,caterham,Caterham,17,0,0,17.794117647058822,0.0,0.0,0.0,0.0,0.0971461852067559,0.6476412347117064,0.0,11.0,0,0,425,0.0,0.0,0.0,0.0,0.0,9.71461852067559
2015,mercedes,Mercedes,19,16,32,3.210526315789474,1.0,1.0,1.0,37.0,0.9404637832204272,0.9364252214695152,1.0,1.0,0,0,475,0.002105263157894737,0.8421052631578947,0.0,0.0,25.34736842105263,94.04637832204273
2015,ferrari,Ferrari,19,3,16,6.026315789473684,0.6088193456614509,0.1874999999999999,0.5,22.526315789473685,0.4444889212427643,0.8806670140698281,0.4087431215187854,2.0,0,0,475,0.0012817249382346336,0.15789473684210525,0.0,0.0,4.788111102792543,44.448892124276426
2015,williams,Williams,19,0,4,8.5,0.3655761024182077,0.0,0.1249999999999999,13.526315789473683,0.2291176957311662,0.8316831683168316,0.1519968057823314,3.0,0,0,475,0.0007696338998278057,0.0,0.0,0.0,0.03078535599311223,22.91176957311662
2015,red-bull,Red Bull,19,0,3,9.0,0.2660028449502133,0.0,0.0937499999999999,9.842105263157896,0.1999053957227159,0.8217821782178218,0.1171725139878191,4.0,0,0,475,0.0005600059893688702,0.0,0.0,0.0,0.02240023957475481,19.99053957227159
2015,force-india,Force India,19,0,1,10.526315789473683,0.1934566145092461,0.0,0.0312499999999999,7.157894736842105,0.16523753837866,0.791558103178739,0.0758445945945945,5.0,0,0,475,0.0004072770831773602,0.0,0.0,0.0,0.01629108332709441,16.523753837866
2015,lotus-f1,Lotus,19,0,1,12.526315789473683,0.1109530583214793,0.0,0.0312499999999999,4.105263157894737,0.1427962330817007,0.7519541427826993,0.0490920772068853,6.0,0,0,475,0.00023358538593995642,0.0,0.0,0.0,0.009343415437598257,14.27962330817007
2015,toro-rosso,Toro Rosso,19,0,0,11.894736842105264,0.0953058321479374,0.0,0.0,3.526315789473684,0.1337302649183837,0.7644606565919749,0.0382844406761163,7.0,0,0,475,0.00020064385715355242,0.0,0.0,0.0,0.008025754286142097,13.373026491838369
2015,sauber,Sauber,19,0,0,12.552631578947368,0.0512091038406827,0.0,0.0,1.894736842105263,0.1229567764742334,0.7514330380406462,0.0254412511595303,8.0,0,0,475,0.00010780863966459516,0.0,0.0,0.0,0.004312345586583806,12.295677647423341
2015,mclaren,McLaren,19,0,0,14.473684210526317,0.038406827880512,0.0,0.0,1.4210526315789471,0.1146902243567173,0.7133923918707661,0.0155866069517257,9.0,0,0,475,8.085647974844632e-05,0.0,0.0,0.0,0.0032342591899378525,11.46902243567173
2015,marussia,Marussia,19,0,0,16.289473684210527,0.0,0.0,0.0,0.0,0.1016154247003647,0.6774361646690985,0.0,10.0,0,0,475,0.0,0.0,0.0,0.0,0.0,10.161542470036471
2016,mercedes,Mercedes,21,19,33,3.4761904761904763,1.0,1.0,1.0,36.42857142857143,0.9396746817538896,0.9311645450259312,1.0,1.0,0,0,525,0.0019047619047619048,0.9047619047619048,0.0,0.0,27.219047619047615,93.96746817538896
2016,red-bull,Red Bull,21,2,16,5.738095238095238,0.611764705882353,0.1052631578947368,0.4848484848484848,22.285714285714285,0.4133633204098826,0.8863743517208864,0.3747392851744125,2.0,0,0,525,0.001165266106442577,0.09523809523809523,0.0,0.0,2.9037535014005598,41.33633204098826
