year,constructorId,name,races,wins,podiums,avg_finish,total_points,win_rate,podium_rate,avg_points,TDI
1953,del-roy,Del Roy,1,0,0,46.0,0.0,0.0,0.0,0.0,0.0
1953,emw,EMW,1,0,0,23.0,0.0,0.0,0.0,0.0,0.0
1953,ferrari,Ferrari,8,7,16,8.98,1.0,0.875,0.6666666666666666,15.3125,0.8729166666666667
1953,gordini,Gordini,8,0,0,15.620689655172416,0.0326530612244898,0.0,0.0,0.5,0.01306122448979592
1953,greifzu,Greifzu,1,0,0,15.0,0.0,0.0,0.0,0.0,0.0
1953,heck,Heck,1,0,0,16.0,0.0,0.0,0.0,0.0,0.0
1953,hwm,HWM,6,0,0,17.833333333333332,0.0,0.0,0.0,0.0,0.0
1953,kurtis-kraft,Kurtis Kraft,1,1,3,21.63636363636364,0.19591836734693877,1.0,1.0,24.0,0.6783673469387754
1953,kuzma,Kuzma,1,0,0,22.166666666666668,0.0,0.0,0.0,0.0,0.0
1953,lesovsky,Lesovsky,1,0,0,38.0,0.0,0.0,0.0,0.0,0.0
1953,maserati,Maserati,8,1,8,10.133333333333333,0.5346938775510204,0.125,0.3333333333333333,8.1875,0.3409608843537415
1953,osca,O.S.C.A.,4,0,0,21.285714285714285,0.0,0.0,0.0,0.0,0.0
1953,schroeder,Schroeder,1,0,0,20.0,0.0,0.0,0.0,0.0,0.0
1953,simca-gordini,Simca-Gordini,2,0,0,18.0,0.0,0.0,0.0,0.0,0.0
1953,stevens,Stevens,1,0,0,29.0,0.0,0.0,0.0,0.0,0.0
1953,turner,Turner,1,0,0,33.0,0.0,0.0,0.0,0.0,0.0
1953,veritas,Veritas,2,0,0,22.375,0.0,0.0,0.0,0.0,0.0
1953,watson,Watson,1,0,0,41.0,0.0,0.0,0.0,0.0,0.0
1954,bromme,Bromme,1,0,0,50.5,0.0,0.0,0.0,0.0,0.0
1954,connaught,Connaught,1,0,0,15.8,0.0,0.0,0.0,0.0,0.0
1954,cooper,Cooper,1,0,0,25.666666666666668,0.0,0.0,0.0,0.0,0.0
1954,ferrari,Ferrari,8,2,12,10.063829787234043,1.0,0.25,0.75,10.035,0.675
1954,gordini,Gordini,8,0,0,14.12,0.051569506726457395,0.0,0.0,0.5175,0.02062780269058296
1954,hwm,HWM,1,0,0,17.0,0.0,0.0,0.0,0.0,0.0
1954,klenk,Klenk,1,0,0,15.0,0.0,0.0,0.0,0.0,0.0
1954,kurtis-kraft,Kurtis Kraft,1,1,2,25.37142857142857,0.2242152466367713,1.0,1.0,18.0,0.6896860986547085
1954,kuzma,Kuzma,1,0,1,14.75,0.07473841554559044,0.0,0.5,6.0,0.15489536621823619
1954,lancia,Lancia,1,0,0,20.5,0.01245640259093174,0.0,0.0,1.0,0.0049825610363726965
1954,maserati,Maserati,8,2,5,12.119402985074627,0.5782262082710513,0.25,0.3125,5.8025,0.3969154833084205
1954,mercedes,Mercedes,6,4,7,6.555555555555555,0.7491280518186347,0.6666666666666666,0.5833333333333334,10.023333333333332,0.6788178873941206
1954,nichels,Nichels,1,0,0,41.0,0.0,0.0,0.0,0.0,0.0
1954,pankratz,Pankratz,1,0,0,27.0,0.0,0.0,0.0,0.0,0.0
1954,pawl,Pawl,1,0,0,36.5,0.0,0.0,0.0,0.0,0.0
1954,phillips,Phillips,1,0,0,8.0,0.0,0.0,0.0,0.0,0.0
1954,schroeder,Schroeder,1,0,0,48.0,0.0,0.0,0.0,0.0,0.0
