year,constructorId,name,races,wins,podiums,avg_finish,total_points,win_rate,podium_rate,avg_points,TDI
1955,phillips,Phillips,1,0,0,17.0,0.0,0.0,0.0,0.0,0.0058823529411764705
1955,schroeder,Schroeder,1,0,0,22.0,0.0,0.0,0.0,0.0,0.004545454545454546
1955,stevens,Stevens,1,0,0,33.0,0.0,0.0,0.0,0.0,0.0030303030303030307
1955,trevis,Trevis,1,0,0,17.5,0.0,0.0,0.0,0.0,0.005714285714285714
1955,vanwall,Vanwall,4,0,0,16.142857142857142,0.0,0.0,0.0,0.0,0.006194690265486726
1956,brm,BRM,2,0,0,21.8,0.0,0.0,0.0,0.0,0.004587155963302752
1956,bugatti,Bugatti,1,0,0,19.0,0.0,0.0,0.0,0.0,0.005263157894736842
1956,connaught,Connaught,3,0,0,13.714285714285714,9.0,0.0,0.0,3.0,0.02756193693693694
1956,cooper,Cooper,1,0,0,13.0,0.0,0.0,0.0,0.0,0.007692307692307693
1956,emeryson,Emeryson,1,0,0,27.0,0.0,0.0,0.0,0.0,0.003703703703703704
1956,ferrari,Ferrari,7,5,14,9.977777777777778,80.5,0.7142857142857143,2.0,11.5,0.8734392601319106
1956,gordini,Gordini,5,0,0,13.733333333333333,2.0,0.0,0.0,0.4,0.009984256100760956
1956,kurtis-kraft,Kurtis Kraft,1,0,1,20.347826086956523,9.0,0.0,1.0,9.0,0.3157253407253407
1956,kuzma,Kuzma,1,0,0,14.857142857142858,3.0,0.0,0.0,3.0,0.027001039501039503
1956,lesovsky,Lesovsky,1,0,0,9.0,0.0,0.0,0.0,0.0,0.011111111111111112
1956,maserati,Maserati,7,2,7,11.714285714285714,72.0,0.2857142857142857,1.0,10.285714285714286,0.44232036914963746
1956,phillips,Phillips,1,0,1,3.0,4.0,0.0,1.0,4.0,0.31036036036036035
1956,stevens,Stevens,1,0,0,10.0,0.0,0.0,0.0,0.0,0.010000000000000002
1956,vanwall,Vanwall,5,0,0,16.714285714285715,3.0,0.0,0.0,0.6,0.010036960036960037
1956,watson,Watson,1,1,1,1.0,8.0,1.0,1.0,8.0,0.8040540540540541
1957,brm,BRM,3,0,0,15.5,0.0,0.0,0.0,0.0,0.0064516129032258064
1957,connaught,Connaught,1,0,0,8.5,3.0,0.0,0.0,3.0,0.03203497615262321
1957,cooper,Cooper,5,0,0,13.625,2.0,0.0,0.0,0.4,0.010042152243987107
1957,dunn,Dunn,1,0,0,21.0,0.0,0.0,0.0,0.0,0.004761904761904762
1957,epperly,Epperly,1,1,2,1.5,15.0,1.0,2.0,15.0,1.068018018018018
1957,ferrari,Ferrari,7,0,6,8.34375,48.0,0.0,0.8571428571428571,6.857142857142857,0.2726027793443524
1957,kurtis-kraft,Kurtis Kraft,1,0,0,18.333333333333332,5.0,0.0,0.0,5.0,0.03923832923832924
1957,kuzma,Kuzma,1,0,1,14.4,4.0,0.0,1.0,4.0,0.28397147147147145
1957,lesovsky,Lesovsky,1,0,0,20.0,0.0,0.0,0.0,0.0,0.005000000000000001
1957,maserati,Maserati,7,4,10,10.885245901639344,78.0,0.5714285714285714,1.4285714285714286,11.142857142857142,0.6701906079918128
1957,phillips,Phillips,1,0,0,9.0,0.0,0.0,0.0,0.0,0.011111111111111112
1957,porsche,Porsche,1,0,0,14.333333333333334,0.0,0.0,0.0,0.0,0.0069767441860465115
1957,vanwall,Vanwall,6,3,5,9.0,37.0,0.5,0.8333333333333334,6.166666666666667,0.46111111111111114
1957,watson,Watson,1,0,0,31.0,0.0,0.0,0.0,0.0,0.0032258064516129032
1958,brm,BRM,9,0,2,11.363636363636363,24.0,0.0,0.2222222222222222,2.6666666666666665,0.08237357357357357
1958,connaught,Connaught,2,0,0,21.6,0.0,0.0,0.0,0.0,0.004629629629629629
1958,cooper,Cooper,10,2,5,10.829268292682928,38.0,0.2,0.5,3.8,0.2399099099099099
1958,dunn,Dunn,1,0,0,24.0,0.0,0.0,0.0,0.0,0.004166666666666667
1958,epperly,Epperly,1,1,2,3.0,20.0,1.0,2.0,20.0,1.0684684684684684
1958,ferrari,Ferrari,10,2,14,7.647058823529412,93.0,0.2,1.4,9.3,0.505914760914761
1958,kurtis-kraft,Kurtis Kraft,1,0,1,19.0625,4.0,0.0,1.0,4.0,0.28227292866637127
1958,kuzma,Kuzma,1,0,0,19.8,0.0,0.0,0.0,0.0,0.005050505050505051
1958,lesovsky,Lesovsky,1,0,0,22.5,0.0,0.0,0.0,0.0,0.0044444444444444444
1958,lotus,Lotus,9,0,0,12.263157894736842,3.0,0.0,0.0,0.3333333333333333,0.010406758690020492
1958,maserati,Maserati,10,0,0,13.709090909090909,9.0,0.0,0.0,0.9,0.013375510789303893
